Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
New Zealand,Western Pacific,3457,71.69,245,5.08,22,27,0.56,1,0.02,0
Liechtenstein,Europe,3442,8883.27,51,131.62,0,58,149.69,0,0,0
Saint Martin,Americas,3363,8699.14,7,18.11,0,20,51.73,3,7.76,0
Monaco,Europe,3240,8256.04,52,132.5,6,35,89.19,0,0,0
Bermuda,Americas,3048,4894.58,204,327.59,0,34,54.6,1,1.61,0
Turks and Caicos Islands,Americas,2697,6965.75,47,121.39,0,20,51.66,0,0,0
British Virgin Islands,Americas,2640,8731.02,72,238.12,0,37,122.37,0,0,0
Sao Tome and Principe,Africa,2634,1201.87,41,18.71,0,37,16.88,0,0,0
Bhutan,South-East Asia,2596,336.44,0,0,0,3,0.39,0,0,0
Saint Vincent and the Grenadines,Americas,2379,2144.4,48,43.27,8,12,10.82,0,0,0
Dominica,Americas,1998,2775.35,360,500.06,166,5,6.95,1,1.39,1
Antigua and Barbuda,Americas,1870,1909.55,157,160.32,0,46,46.97,2,2.04,0
Bonaire,Americas,1802,8615.83,49,234.28,36,17,81.28,0,0,0
Saint Barthélemy,Americas,1593,16115.33,1,10.12,0,1,10.12,0,0,0
Guernsey,Europe,1375,2132.84,138,214.06,45,18,27.92,0,0,0
United Republic of Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
Grenada,Americas,1238,1100.22,881,782.95,0,12,10.66,11,9.78,7
Saint Kitts and Nevis,Americas,1230,2312.38,177,332.76,0,5,9.4,2,3.76,0
Faroe Islands,Europe,1020,2087.38,19,38.88,5,2,4.09,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,691,1051.43,11,16.74,0,2,3.04,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Greenland,Europe,353,621.79,20,35.23,0,0,0,0,0,0
Anguilla,Americas,296,1973.07,79,526.6,17,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,248,430.88,6,10.42,0,2,3.47,0,0,0
New Caledonia,Western Pacific,136,47.64,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,64,1837.5,0,0,0,0,0,0,0,0
Montserrat,Americas,31,620.12,2,40.01,0,1,20,0,0,0
Saint Pierre and Miquelon,Americas,31,534.94,1,17.26,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,24,764.57,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,11,569.06,1,51.73,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Palau,Western Pacific,2,11.05,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
